id,migration,batch
1,0001_01_01_000001_create_cache_table,1
2,0001_01_01_000002_create_jobs_table,1
3,2026_09_17_140136_create_synced_systems_table,1
4,2026_09_17_140138_create_synced_contractors_table,1
5,2026_09_17_140140_create_users_table,1
6,2026_09_17_140141_create_synced_contracts_table,1
7,2026_09_17_140143_create_projects_table,1
8,2026_09_17_140146_create_wbs_phases_table,1
9,2026_09_17_140148_create_tasks_table,1
10,2026_09_17_140150_create_weight_change_requests_table,1
11,2026_09_17_140153_create_task_assignments_table,1
12,2026_09_17_140156_create_task_dependencies_table,1
13,2026_09_17_140157_create_documents_table,1
14,2026_09_17_140201_create_comments_table,1
15,2026_09_17_140203_create_approvals_table,1
16,2026_09_17_140205_create_sla_records_table,1
17,2026_09_17_140208_create_sla_events_table,1
18,2026_09_17_140210_create_performance_records_table,1
19,2026_09_17_140212_create_activity_logs_table,1
20,2026_09_18_170231_create_permission_tables,1
